name_last,name_first,position,country,height_in,weight_lb,from_year,to_year
Abdelnaby,Alaa,F,USA,82,240,1990,1994
Abdul-Aziz,Zaid,C,USA,81,235,1968,1977
Abdul-Jabbar,Kareem,C,USA,86,225,1969,1988
Abdul-Rauf,Mahmoud,G,USA,73,162,1990,2000
Abdul-Wahad,Tariq,F-G,France,78,235,1997,2003
Abdur-Rahim,Shareef,F,USA,81,245,1996,2007
Abernethy,Tom,F,USA,79,220,1976,1980
Able,Forest,G,USA,75,180,1956,1956
Abramovic,John,F,USA,75,195,1946,1947
Abrines,Alex,G,Spain,78,190,2016,2018
Achiuwa,Precious,F,Nigeria,80,225,2020,2022
Acker,Alex,G,USA,77,185,2005,2008
Ackerman,Donald,G,USA,72,183,1953,1953
Acres,Mark,C,USA,83,220,1987,1992
Acton,Charles,F,USA,78,210,1967,1967
Acy,Quincy,F,USA,79,240,2012,2018
Adams,Alvan,C,USA,81,210,1975,1987
Adams,Don,F,USA,79,210,1970,1976
Adams,Hassan,F,USA,76,220,2006,2008
Adams,Jaylen,G,USA,72,225,2018,2020
Adams,Jordan,G,USA,77,209,2014,2015
Adams,Michael,G,USA,70,165,1985,1995
Adams,Steven,C,New Zealand,83,265,2013,2022
Addison,Rafael,F,USA,80,241,1986,1996
Adebayo,Bam,C-F,USA,81,255,2017,2022
Adel,Deng,F,South Sudan,79,200,2018,2018
Adelman,Rick,G,USA,74,175,1968,1974
Adrien,Jeff,F,USA,79,245,2010,2014
Afflalo,Arron,G,USA,77,210,2007,2017
Agbaji,Ochai,G,USA,77,215,2022,2022
Ager,Maurice,F-G,USA,77,202,2006,2010
Aguirre,Mark,F,USA,78,232,1981,1993
Ahearn,Blake,G,USA,74,190,2007,2011
Ainge,Danny,G,USA,77,175,1981,1994
Ajinca,Alexis,C,France,86,248,2008,2017
Akin,Henry,C,USA,82,225,1966,1967
Akognon,Josh,G,USA,71,185,2012,2012
Akoon-Purcell,DeVaughn,G,Trinidad and Tobago,77,201,2018,2018
Alabi,Solomon,C,Nigeria,85,252,2010,2011
Alarie,Mark,F,USA,80,217,1986,1990
Alcorn,Gary,C,USA,81,225,1959,1960
Aldama,Santi,F-C,Spain,84,215,2021,2022
Aldemir,Furkan,F-C,Turkey,82,240,2014,2014
Aldrich,Cole,C,USA,83,253,2010,2017
Aldridge,LaMarcus,C-F,USA,83,250,2006,2021
Aleksinas,Chuck,C,USA,83,260,1984,1984
Alexander,Cliff,F,USA,80,240,2015,2015
Alexander,Cory,G,USA,73,190,1995,2004
Alexander,Courtney,G,USA,77,205,2000,2003
Alexander,Gary,F,USA,79,240,1993,1993
Alexander,Joe,F,USA,80,230,2008,2009
Alexander,Kyle,F-C,Canada,82,216,2019,2019
Alexander,Ty-Shon,G,USA,75,195,2020,2020
Alexander,Victor,F,USA,82,265,1991,2001
Alexander-Walker,Nickeil,G,Canada,77,205,2019,2022
Alford,Steve,G,USA,74,183,1987,1990
Alkins,Rawle,G,USA,77,225,2018,2018
Allen,Bob,F,USA,81,205,1968,1968
Allen,Grayson,G,USA,76,198,2018,2022
Allen,Jarrett,C,USA,81,243,2017,2022
Allen,Jerome,G,USA,76,184,1995,1996
Allen,Kadeem,G,USA,75,200,2017,2019
Allen,Lavoy,F-C,USA,81,260,2011,2016
Allen,Lucius,G,USA,74,175,1969,1978
Allen,Malik,F,USA,82,255,2001,2010
Allen,Randy,F,USA,80,220,1988,1989
Allen,Ray,G,USA,77,205,1996,2013
Allen,Tony,G-F,USA,76,213,2004,2017
Allison,Odis,F,USA,78,195,1971,1971
Allred,Lance,C,USA,83,250,2007,2007
Allums,Darrell,F,USA,80,220,1980,1980
Almond,Morris,G,USA,78,225,2007,2011
Alston,Derrick,F,USA,83,225,1994,1996
Alston,Rafer,G,USA,74,175,1999,2009
Aluma,Peter,C,USA,82,260,1998,1998
Alvarado,Jose,G,USA,72,179,2021,2022
Amaechi,John,F-C,United Kingdom,82,270,1995,2002
Amaya,Ashraf,F,USA,79,250,1995,1996
Aminu,Al-Farouq,F,USA,80,220,2010,2020
Amundson,Lou,F,USA,81,220,2006,2015
Anderegg,Bob,F,USA,75,200,1959,1959
Andersen,Chris,F-C,USA,82,245,2001,2016
Andersen,David,C,Australia,83,247,2009,2010
Anderson,Alan,F-G,USA,78,220,2005,2016
Anderson,Antonio,G,USA,78,215,2009,2009
Anderson,Cliff,G,USA,74,200,1967,1970
Anderson,Daniel,G,USA,74,185,1974,1975
Anderson,Derek,G,USA,77,195,1997,2007
Anderson,Dwight,G,USA,75,185,1982,1982
Anderson,Eric,F,USA,81,220,1992,1993
Anderson,Greg,C-F,USA,82,250,1987,1997
Anderson,James,G-F,USA,78,213,2010,2015
Anderson,Jerome,G,USA,77,195,1975,1976
Anderson,Justin,F-G,USA,77,231,2015,2021
Anderson,Kenny,G,USA,73,168,1991,2004
Anderson,Kim,F,USA,79,200,1978,1978
Anderson,Kyle,F-G,USA,81,230,2014,2022
Anderson,Michael,G,USA,71,184,1988,1988
Anderson,Mitchell,F,USA,80,195,1982,1984
Anderson,Nick,F-G,USA,78,228,1989,2002
Anderson,Richard,F,USA,82,240,1982,1989
Anderson,Ron,F,USA,79,215,1984,1993
Anderson,Ryan,F,USA,82,240,2008,2019
Anderson,Shandon,G-F,USA,78,215,1996,2005
Anderson,Willie,G-F,USA,80,200,1988,1996
Anderzunas,Wally,C,USA,79,220,1969,1969
Andriuskevicius,Martynas,C,Lithuania,86,240,2005,2006
Anielak,Don,F,USA,79,190,1954,1954
Anigbogu,Ike,C-F,USA,82,262,2017,2018
Ansley,Michael,F,USA,79,225,1989,1991
Anstey,Chris,C,Australia,84,249,1997,1999
Antetokounmpo,Giannis,F,Greece,84,243,2013,2022
Antetokounmpo,Kostas,F,Greece,82,200,2018,2020
Antetokounmpo,Thanasis,F,Greece,79,219,2015,2022
Anthony,Carmelo,F,USA,79,238,2003,2021
Anthony,Cole,G,USA,75,185,2020,2022
Anthony,Greg,G,USA,73,180,1991,2001
Anthony,Joel,C,Canada,81,245,2007,2016
Antic,Pero,F-C,Macedonia,83,260,2013,2014
Anunoby,O.G.,F,United Kingdom,79,232,2017,2022
Appling,Keith,G,USA,73,185,2015,2015
Araujo,Rafael,C,Brazil,83,270,2004,2006
Arceneaux,Stacey,F,USA,76,210,1961,1961
Archibald,Nate,G,USA,73,150,1970,1983
Archibald,Robert,F,Scotland,83,250,2002,2003
Arcidiacono,Ryan,G,USA,75,195,2017,2022
Ard,Jim,C,USA,81,215,1974,1977
Arenas,Gilbert,G,USA,76,215,2001,2011
Ariza,Trevor,F,USA,80,215,2004,2021
Arizin,Paul,F,USA,76,190,1950,1961
Arlauckas,Joe,F,USA,81,230,1987,1987
Armstrong,B.J.,G,USA,74,185,1989,1999
Armstrong,Bob,C,USA,80,220,1956,1956
Armstrong,Brandon,G,USA,77,185,2001,2003
Armstrong,Darrell,G,USA,73,180,1994,2007
Armstrong,Hilton,F-C,USA,83,235,2006,2013
Armstrong,Paul,G,USA,71,170,1948,1950
Armstrong,Tate,G,USA,75,175,1977,1978
Arnelle,Jesse,F,USA,77,220,1955,1955
Arnette,Jay,G,USA,74,175,1963,1965
Arnzen,Bob,F,USA,77,205,1970,1970
Arroyo,Carlos,G,Puerto Rico,74,200,2001,2010
Arthur,Darrell,F,USA,81,235,2008,2017
Arthurs,John,G,USA,76,185,1969,1969
Artis,Jamel,G,USA,79,213,2017,2017
Asik,Omer,C,Turkey,84,255,2010,2017
Askew,Vincent,F,USA,78,235,1987,1997
Askins,Keith,F-G,USA,80,215,1990,1998
Asmonga,Don,G,USA,74,185,1953,1953
Atha,Richard,G,USA,74,190,1955,1957
Atkins,Chucky,G,USA,71,185,1999,2009
Attles,Alvin,G,USA,73,175,1960,1970
Aubuchon,Chet,G,USA,70,137,1946,1946
Augmon,Stacey,F-G,USA,80,213,1991,2005
Augustin,D.J.,G,USA,71,183,2008,2022
Augustine,James,F,USA,82,235,2006,2007
Austin,Ike,C,USA,82,270,1991,2001
Austin,John,G,USA,72,170,1966,1966
Austin,Ken,F,USA,81,205,1983,1983
Avdija,Deni,F,Israel,81,210,2020,2022
Avent,Anthony,C,USA,81,240,1992,1999
Averitt,William,G,USA,74,170,1976,1977
Avery,William,G,USA,74,180,1999,2002
Awtrey,Dennis,C,USA,82,235,1970,1981
Ayayi,Joel,G,France,76,180,2021,2021
Ayon,Gustavo,F-C,Mexico,82,250,2011,2013
Ayres,Jeff,F-C,USA,81,250,2009,2015
Ayton,Deandre,C,Bahamas,84,250,2018,2022
Azubuike,Kelenna,G,United Kingdom,77,215,2006,2011
Azubuike,Udoka,C-F,Nigeria,83,270,2020,2022
Babb,Chris,G,USA,77,225,2013,2014
Babbitt,Luke,F,USA,81,225,2010,2017
Babic,Milos,C,USA,84,240,1990,1991
Bach,Johnny,F,USA,74,180,1948,1948
Bacon,Dwayne,G-F,USA,78,221,2017,2020
Badji,Ibou,C,Senegal,85,240,2022,2022
Baechtold,Jim,F,USA,76,205,1952,1956
Bagaric,Dalibor,C,Croatia,85,290,2000,2002
Bagley,John,G,USA,72,185,1982,1993
Bagley III,Marvin,F,USA,82,235,2018,2022
Bailey,Carl,C,USA,84,210,1981,1981
Bailey,Gus,G,USA,77,185,1974,1979
Bailey,James,F,USA,81,220,1979,1987
Bailey,Thurl,F,USA,83,247,1983,1998
Bailey,Toby,G,USA,78,213,1998,2002
Bairstow,Cameron,F-C,Australia,81,250,2014,2015
Baker,Mark,G,USA,73,175,1998,1998
Baker,Maurice,G,USA,73,185,2002,2004
Baker,Norm,G,Canada,72,180,1946,1946
Baker,Ron,G,USA,76,220,2016,2018
Baker,Vin,F,USA,83,240,1993,2005
Baldwin IV,Wade,G,USA,76,202,2016,2018
Baldwin Jr.,Patrick,F,USA,81,220,2022,2022
Balkman,Renaldo,F,USA,80,208,2006,2011
Ball,Cedric,F,USA,80,210,1990,1990
Ball,LaMelo,G,USA,79,180,2020,2022
Ball,Lonzo,G,USA,78,190,2017,2022
Ballard,Greg,F,USA,79,215,1977,1988
Baltimore,Herschel,F,USA,76,195,1946,1946
Bamba,Mo,C,USA,84,231,2018,2022
Banchero,Paolo,F,USA,82,250,2022,2022
Bane,Desmond,G,USA,77,215,2020,2022
Banks,Gene,F,USA,79,215,1981,1986
Banks,Marcus,G,USA,74,205,2003,2010
Bannister,Ken,F,USA,81,235,1984,1990
Bantom,Mike,F,USA,81,200,1973,1981
Banton,Dalano,F,Canada,79,204,2021,2022
Barber,Cat,G,USA,73,173,2021,2021
Barber,John,F,USA,78,210,1956,1956
Barbosa,Leandro,G,Brazil,75,194,2003,2016
Bardo,Stephen,G,USA,77,190,1991,1995
Barea,J.J.,G,Puerto Rico,70,180,2006,2019
Bargnani,Andrea,C-F,Italy,84,245,2006,2015
Barker,Cliff,G,USA,74,185,1949,1951
Barker,Tom,C,USA,83,225,1976,1978
Barkley,Charles,F,USA,78,252,1984,1999
Barkley,Erick,G,USA,73,185,2000,2002
Barksdale,Don,F,USA,78,200,1951,1954
Barlow,Dominick,F,USA,81,215,2022,2022
Barnes,Harrison,F,USA,80,225,2012,2022
Barnes,Harry,F,USA,75,205,1968,1968
Barnes,Jim,C,USA,80,210,1964,1970
Barnes,Marvin,F,USA,81,210,1976,1979
Barnes,Matt,F,USA,79,226,2002,2016
Barnes,Scottie,F,USA,80,225,2021,2022
Barnett,Dick,G,USA,76,190,1959,1973
Barnett,Jim,G,USA,76,170,1966,1976
Barnhill,John,G,USA,73,180,1962,1968
Barnhill,Norton,G,USA,76,205,1976,1976
Barnhorst,Leo,F,USA,76,190,1949,1953
Barr,John,F,USA,75,205,1946,1946
Barr,Mike,G,USA,75,180,1976,1976
Barr,Thomas,G,USA,76,195,1970,1970
Barrett,Andre,G,USA,70,173,2004,2007
Barrett,Ernie,G,USA,68,180,1953,1955
Barrett,RJ,F-G,Canada,78,214,2019,2022
Barron,Earl,F-C,USA,84,250,2005,2014
Barros,Dana,G,USA,71,165,1989,2003
Barry,Brent,G,USA,79,210,1995,2008
Barry,Drew,G,USA,77,191,1997,1999
Barry,Jon,G,USA,77,210,1992,2005
Barry,Rick,F,USA,79,205,1965,1979
Bartels,Ed,F,USA,78,195,1949,1950
Bartolome,Vic,C,USA,84,230,1971,1971
Barton,Will,G,USA,77,181,2012,2022
Basden,Eddie,G,USA,77,215,2005,2005
Baskerville,Jerry,F,USA,79,190,1975,1975
Bass,Brandon,F,USA,80,250,2005,2016
Bass,Paris,F,USA,80,200,2021,2021
Bassett,Tim,F,USA,80,225,1976,1979
Bassey,Charles,C-F,Nigeria,81,230,2021,2022
Baston,Maceo,F,USA,82,230,2002,2008
Bateer,Mengke,C,China,83,290,2001,2003
Bates,Billyray,G,USA,76,210,1979,1982
Bates-Diop,Keita,F,USA,80,229,2018,2022
Batista,Esteban,F-C,Uruguay,82,268,2005,2006
Batiste,Mike,F,USA,80,225,2002,2002
Battie,Tony,C,USA,83,240,1997,2011
Battier,Shane,F,USA,80,220,2001,2013
Battle,John,G,USA,74,175,1985,1994
Battle,Kenny,G,USA,78,210,1989,1992
Batton,Dave,C,USA,82,240,1982,1983
Batum,Nicolas,G-F,France,80,230,2008,2022
Baum,Johnny,F,USA,77,200,1969,1970
Baumholtz,Frankie,G,USA,70,170,1946,1946
Baxter,Lonny,F,USA,80,260,2002,2005
Bayless,Jerryd,G,USA,75,200,2008,2018
Baylor,Elgin,F,USA,77,225,1958,1971
Baynes,Aron,C-F,Australia,82,260,2012,2020
Bazarevich,Sergei,G,Russia,74,168,1994,1994
Bazemore,Kent,G-F,USA,76,195,2012,2021
Bazley,Darius,F,USA,81,216,2019,2022
Beach,Ed,F,USA,75,200,1950,1950
Beal,Bradley,G,USA,76,207,2012,2022
Beard,Butch,G,USA,75,185,1969,1978
Beard,Ralph,G,USA,70,175,1949,1950
Beasley,Jerome,F,USA,81,237,2003,2003
Beasley,Malik,G,USA,76,187,2016,2022
Beasley,Michael,F,USA,81,235,2008,2018
Beaty,Zelmo,C,USA,81,225,1962,1974
Beaubois,Rodrigue,G,France,74,185,2009,2012
Beauchamp,MarJon,F,USA,79,199,2022,2022
Beck,Byron,C,USA,81,225,1976,1976
Beck,Corey,G,USA,75,200,1995,1998
Beck,Ernie,G,USA,76,190,1953,1960
Bedford,William,C,USA,84,225,1986,1992
Beenders,Hank,C,USA,77,185,1946,1948
Behagen,Ron,F,USA,81,185,1973,1979
Behnke,Elmer,C,USA,79,210,1951,1951
Belinelli,Marco,G,Italy,77,220,2007,2019
Bell,Charlie,G,USA,75,200,2001,2010
Bell,Dennis,F,USA,77,185,1973,1975
Bell,Jordan,F,USA,80,216,2017,2021
Bell,Raja,G,US Virgin Islands,77,210,2000,2011
Bell,Troy,G,USA,73,180,2003,2003
Bell,William,G,USA,72,180,1959,1960
Bellamy,Walt,C,USA,82,225,1961,1974
Bembry,DeAndre',G-F,USA,77,210,2016,2021
Bemoras,Irv,F,USA,75,185,1953,1956
Benbow,Leon,G,USA,76,185,1974,1975
Bender,Dragan,F,Croatia,85,225,2016,2019
Bender,Jonathan,F,USA,84,230,1999,2009
Benjamin,Benoit,C,USA,84,265,1985,1999
Benjamin,Corey,G,USA,78,205,1998,2002
Bennett,Anthony,F,Canada,80,245,2013,2016
Bennett,Elmer,G,USA,72,170,1994,1996
Bennett,Mario,C-F,USA,81,235,1995,2002
Bennett,Mel,F,USA,79,200,1976,1981
Bennett,Tony,G,USA,72,175,1992,1994
Bennett,Winston,G,USA,79,210,1989,1991
Benoit,David,F,USA,80,220,1991,2000
Benson,Keith,F-C,USA,83,240,2011,2011
Benson,Kent,C,USA,83,235,1977,1987
Bentil,Ben,F,Ghana,81,235,2016,2016
Berce,Gene,G,USA,71,175,1949,1949
Bergen,Gary,C,USA,80,210,1956,1956
Berry,Ricky,F,USA,80,205,1988,1988
Berry,Walter,F,USA,80,215,1986,1988
Bertans,Dairis,G,Latvia,76,200,2018,2018
Bertans,Davis,F,Latvia,82,225,2016,2022
Beshore,Del,G,USA,71,165,1978,1979
Best,Travis,G,USA,71,182,1995,2004
Beverley,Patrick,G,USA,74,180,2012,2022
Bey,Saddiq,F,USA,79,215,2020,2022
Bey,Tyler,F,USA,79,215,2020,2020
Bhullar,Sim,C,Canada,89,360,2014,2014
Bianchi,Al,G,USA,75,185,1956,1965
Biasatti,Hank,G,Canada,71,175,1946,1946
Bibby,Henry,G,USA,73,185,1972,1980
Bibby,Mike,G,USA,74,195,1998,2011
Biedenbach,Ed,G,USA,73,175,1968,1968
Biedrins,Andris,C,Latvia,84,242,2004,2013
Bielke,Don,C,USA,79,240,1955,1955
Bigelow,Bob,F,USA,79,215,1975,1978
Billups,Chauncey,G,USA,75,210,1997,2013
Bing,Dave,G,USA,75,180,1966,1977
Binion,Joe,F,USA,80,235,1986,1986
Birch,Khem,C,Canada,80,233,2017,2022
Bird,Jabari,G,USA,78,198,2017,2017
Bird,Jerry,F,USA,78,210,1958,1958
Bird,Larry,F,USA,81,220,1979,1991
Birdsong,Otis,G,USA,75,190,1977,1988
Bishop,Gale,F,USA,75,195,1948,1948
Bitadze,Goga,C-F,Georgia,83,250,2019,2022
Biyombo,Bismack,C,DRC,80,255,2011,2022
Bjelica,Nemanja,F,Serbia,81,234,2015,2021
Blab,Uwe,C,USA,85,252,1985,1989
Black,Charlie,F,USA,76,200,1948,1951
Black,Norman,G,USA,77,185,1980,1980
Black,Tarik,F-C,USA,81,250,2014,2017
Black,Tom,C,USA,82,220,1970,1970
Blackman,Rolando,G,USA,78,190,1981,1993
Blackwell,Alex,F,USA,78,250,1992,1992
Blackwell,Cory,F,USA,78,210,1984,1984
Blackwell,James,G,USA,72,190,1994,1994
Blackwell,Nate,G,USA,76,170,1987,1987
Blair,DeJuan,C-F,USA,79,270,2009,2015
Blake,Steve,G,USA,75,172,2003,2015
Blakely,Marqus,F,USA,77,225,2010,2010
Blakeney,Antonio,G,USA,76,192,2017,2018
Blalock,Will,G,USA,72,205,2006,2006
Blaney,George,G,USA,73,175,1961,1961
Blanks,Lance,G,USA,76,190,1990,1992
Blanton,Ricky,F,USA,79,215,1992,1992
Blatche,Andray,C-F,USA,83,260,2005,2013
Blaylock,Mookie,G,USA,73,185,1989,2001
Bledsoe,Eric,G,USA,73,214,2010,2021
Blevins,Keljin,G,USA,76,200,2020,2021
Blevins,Leon,G,USA,74,160,1950,1950
Block,John,F,USA,82,207,1966,1975
Bloom,Mike,C,USA,78,190,1947,1948
Blossomgame,Jaron,F,USA,80,220,2018,2018
Blount,Corie,F-C,USA,82,242,1993,2003
Blount,Mark,C-F,USA,84,250,2000,2008
Blue,Vander,G,USA,76,200,2013,2017
Bluiett,Trevon,G-F,USA,78,198,2018,2018
Blume,Ray,G,USA,76,185,1981,1981
Bobb,Nelson,G,USA,72,170,1949,1952
Bobbitt,Tony,G,USA,76,190,2004,2004
Bockhorn,Arlen,G,USA,76,200,1958,1964
Boeheim,Buddy,F,USA,78,205,2022,2022
Boerwinkle,Tom,C,USA,84,265,1968,1977
Bogans,Keith,G-F,USA,77,215,2003,2013
Bogdanovic,Bogdan,G,Serbia,77,225,2017,2022
Bogdanovic,Bojan,F,Croatia,79,226,2014,2022
Bogues,Muggsy,G,USA,63,141,1987,2000
Bogut,Andrew,C,Australia,84,260,2005,2018
Bohannon,Etdrick,F,USA,81,235,1997,2000
Bol,Bol,C-F,Sudan,86,220,2019,2022
Bol,Manute,C,USA,90,200,1985,1994
Bolden,Jonah,F,Australia,82,220,2018,2019
Bolden,Marques,C,USA,82,249,2019,2020
Bolger,Bill,F,USA,77,205,1953,1953
Bolmaro,Leandro,F,Argentina,78,200,2021,2022
Bolomboy,Joel,F,Ukraine,81,235,2016,2017
Bolstorff,Doug,G,USA,76,195,1957,1957
Bon Salle,George H.,F,USA,80,220,1961,1961
Bond,Phil,G,USA,74,175,1977,1977
Bond,Walter,G,USA,77,200,1992,1994
Bone,Jordan,G,USA,75,180,2019,2020
Boney,Dexter,G,USA,76,185,1996,1996
Bonga,Isaac,G,Germany,80,180,2018,2021
Bonham,Ron,F,USA,76,192,1964,1965
Bonner,Anthony,F,USA,80,230,1990,2002
Bonner,Matt,C-F,USA,82,235,2004,2015
Booker,Devin,G,USA,77,206,2015,2022
Booker,Melvin,G,USA,74,185,1995,1996
Booker,Trevor,F,USA,80,228,2010,2017
Boone,Josh,F-C,USA,82,240,2006,2009
Boone,Ron,G,USA,74,200,1976,1980
Booth,Calvin,C,USA,83,230,1999,2008
Booth,Keith,F,USA,78,226,1997,1998
Boozer,Bob,F,USA,80,215,1960,1970
Boozer,Carlos,F,USA,81,258,2002,2014
Borchardt,Curtis,C,USA,84,242,2002,2004
Bornheimer,Jake,F,USA,77,200,1948,1949
Borrell,Lazaro,F,Cuba,80,220,1999,1999
Borsavage,Costic,C,USA,80,220,1950,1950
Boryla,Vince,F,USA,77,210,1949,1953
Bosh,Chris,F,USA,83,235,2003,2016
Bostic,Jim,F,USA,79,225,1977,1977
Boston,Lawrence,F,USA,80,225,1979,1979
Boston Jr.,Brandon,G,USA,78,188,2021,2022
Boswell,Tom,F,USA,80,220,1975,1983
Boucher,Chris,F-C,Saint Lucia,81,200,2017,2022
Bouknight,James,G,USA,76,190,2021,2022
Boumtje-Boumtje,Ruben,C,USA,84,257,2001,2003
Bouyea,Jamaree,G,USA,74,180,2022,2022
Boven,Don,F,USA,76,210,1949,1952
Bowdler,Cal,F,USA,82,253,1999,2001
Bowen,Bruce,F,USA,79,200,1996,2008
Bowen,Ryan,F,USA,81,218,1999,2009
Bowen II,Brian,F-G,USA,78,190,2019,2020
Bowie,Anthony,G,USA,78,200,1988,1997
Bowie,Sam,C,USA,85,235,1984,1994
Bowman,Ira,G,USA,77,195,1999,2001
Bowman,Ky,G,USA,73,187,2019,2019
Bowman,Nate,C,USA,82,230,1966,1970
Boyce,Donnie,G,USA,77,195,1995,1996
Boyd,Dennis,G,USA,73,175,1978,1978
Boyd,Fred,G,USA,74,180,1972,1977
Boyd,Ken,F,USA,77,195,1974,1974
Boykins,Earl,G,USA,65,133,1998,2011
Boykoff,Harry,C,USA,81,225,1949,1950
Boynes,Winford,G,USA,78,185,1978,1980
Bozeman,Cedric,G,USA,78,207,2006,2006
Bracey,Steve,G,USA,73,175,1972,1974
Brackins,Craig,F,USA,82,230,2010,2011
Bradds,Gary,F,USA,80,210,1964,1965
Bradley,Alex,F,USA,78,215,1981,1981
Bradley,Alonzo,F,USA,78,190,1977,1979
Bradley,Avery,G,USA,75,180,2010,2021
Bradley,Bill,F,USA,77,205,1967,1976
Bradley,Charles,G,USA,77,215,1981,1983
Bradley,Dudley,G,USA,78,195,1979,1988
Bradley,Joe,G,USA,75,175,1949,1949
Bradley,Michael,F,USA,82,245,2001,2005
Bradley,Shawn,C,USA,90,275,1993,2004
Bradley,Tony,C-F,USA,82,248,2017,2022
Bradtke,Mark,C,Australia,82,265,1996,1996
Bragg,Marques,F,USA,80,230,1995,1995
Braggs,Torraye,F,USA,80,245,2003,2004
Bramlett,A.J.,C,USA,82,227,1999,1999
Branch,Adrian,F,USA,79,185,1986,1989
Brand,Elton,F,USA,81,254,1999,2015
Brandon,Terrell,G,USA,71,173,1991,2002
Branham,Malaki,F,USA,76,180,2022,2022
Brannum,Bob,F,USA,78,215,1949,1954
Branson,Brad,F,USA,82,220,1981,1982
Branson,Jesse,F,USA,79,195,1965,1965
Brantley,Jarrell,F,USA,77,250,2019,2022
Brasco,Jim,G,USA,73,170,1952,1952
Bratz,Mike,G,USA,74,185,1977,1985
Braun,Carl,G,USA,77,180,1947,1961
Braun,Christian,G,USA,78,220,2022,2022
Brazdeikis,Ignas,F,Canada,78,221,2019,2021
Breaux,Tim,F,USA,79,215,1994,1997
Bremer,J.R.,G,USA,74,185,2002,2003
Brennan,Pete,F,USA,78,205,1958,1958
Brennan,Tom,F,USA,75,195,1954,1954
Breuer,Randy,C,USA,87,230,1983,1993
Brewer,Corey,G-F,USA,81,188,2007,2019
Brewer,Jamison,G,USA,76,184,2001,2004
Brewer,Jim,F,USA,81,210,1973,1981
Brewer,Ron,G,USA,76,180,1978,1985
Brewer,Ronnie,F,USA,79,235,2006,2013
Brezec,Primoz,C,Slovenia,85,255,2001,2009
Brian,Frank,G,USA,73,180,1949,1955
Brickowski,Frank,C-F,USA,81,248,1984,1996
Bridgeman,Junior,F,USA,77,210,1975,1986
Bridges,Bill,F,USA,77,228,1962,1974
Bridges,Mikal,G-F,USA,78,209,2018,2022
Bridges,Miles,F,USA,79,225,2018,2021
Brightman,Al,F,USA,74,195,1946,1946
Brimah,Amida,C,USA,82,230,2020,2020
Brindley,Audley,F,USA,76,175,1946,1946
Briscoe,Isaiah,G,USA,75,215,2018,2018
Brisker,John,F,USA,77,210,1972,1974
Brissett,Oshae,F-G,Canada,79,210,2019,2022
Bristow,Allan,F,USA,79,210,1973,1982
Britt,Tyrone,G,USA,76,190,1967,1967
Britt,Wayman,G,USA,74,185,1977,1977
Brittain,Mike,C,USA,84,235,1985,1986
Britton,David,G,USA,76,180,1980,1980
Brockman,Jon,F,USA,79,255,2009,2011
Broekhoff,Ryan,G-F,Australia,78,215,2018,2019
Brogan,Jim,G,USA,76,185,1981,1982
Brogdon,Malcolm,G,USA,76,229,2016,2022
Brokaw,Gary,G,USA,76,178,1974,1977
Brookfield,Price,F,USA,76,185,1948,1949
Brooks,Aaron,G,USA,72,161,2007,2017
Brooks,Armoni,G,USA,75,195,2020,2021
Brooks,Dillon,G-F,Canada,78,225,2017,2022
Brooks,Kevin,F,USA,78,200,1991,1993
Brooks,MarShon,G-F,USA,77,200,2011,2018
Brooks,Michael,F,USA,79,220,1980,1987
Brooks,Scott,G,USA,71,165,1988,1997
Brown,Andre,F,USA,81,245,2006,2008
Brown,Anthony,F-G,USA,79,224,2015,2017
Brown,Bob,F,USA,76,205,1948,1949
Brown,Bobby,G,USA,74,175,2008,2017
Brown,Bruce,G-F,USA,76,202,2018,2022
Brown,Chucky,F,USA,80,220,1989,2001
Brown,Damone,G,USA,80,202,2001,2004
Brown,Darrell,F,USA,74,175,1948,1948
Brown,Dee,G,USA,74,205,1990,2001
Brown,Dee,G,USA,72,181,2006,2008
Brown,Derrick,F,USA,80,233,2009,2011
Brown,Devin,G,USA,77,210,2002,2009
Brown,Ernest,C,USA,84,244,2001,2003
Brown,Fred,G,USA,75,182,1971,1983
Brown,George,F,USA,78,190,1957,1957
Brown,Gerald,G,USA,76,210,1998,1998
Brown,Harold,G,USA,72,155,1946,1946
Brown,Jabari,G,USA,77,214,2014,2014
Brown,Jaylen,G-F,USA,78,223,2016,2022
Brown,John,F,USA,79,220,1973,1979
Brown,Kedrick,G-F,USA,79,222,2001,2004
Brown,Kendall,G,USA,79,205,2022,2022
Brown,Kwame,C,USA,83,290,2001,2012
Brown,Leon,F,USA,75,190,1946,1946
Brown,Lewis,C,USA,83,225,1980,1980
Brown,Lorenzo,G,USA,77,189,2013,2018
Brown,Marcus,G,USA,75,185,1996,1999
Brown,Markel,G,USA,75,190,2014,2017
Brown,Mike,C-F,USA,82,260,1986,1997
Brown,Moses,C,USA,86,245,2019,2022
Brown,Myron,F,USA,75,180,1991,1991
Brown,P.J.,F-C,USA,83,239,1993,2007
Brown,Randy,G,USA,74,190,1991,2002
Brown,Raymond,F,USA,80,220,1989,1989
Brown,Rickey,C,USA,82,215,1980,1984
Brown,Roger,C,USA,83,225,1972,1979
Brown,Shannon,G,USA,76,210,2006,2014
Brown,Stan,F,USA,75,200,1947,1951
Brown,Sterling,G-F,USA,77,219,2017,2022
Brown,Tierre,G,USA,74,189,2001,2004
Brown,Tony,F,USA,78,185,1984,1991
Brown III,Greg,F,USA,79,206,2021,2022
Brown Jr.,Charlie,G,USA,78,199,2019,2021
